Id,SalePrice
1461,132854.3598
1462,155304.5899
1463,186858.1582
1464,183542.3395
1465,207023.7274
1466,184494.5807
1467,177470.9344
1468,165034.5611
1469,178895.9049
1470,122758.4079
1471,189222.7318
1472,92835.76742
1473,103100.9499
1474,158855.4237
1475,127697.2196
1476,390577.6576
1477,268652.7678
1478,296119.7724
1479,262445.0204
1480,462534.3083
1481,303887.8221
1482,205386.6102
1483,161909.5496
1484,163634.0752
1485,173881.1939
1486,204074.4436
1487,422696.6344
1488,245676.3545
1489,203572.0256
1490,192363.1266
1491,189966.5206
1492,92019.92482
1493,177787.6048
1494,267334.5104
1495,284489.7504
1496,214855.8792
1497,183751.6457
1498,156907.2096
1499,157749.7415
1500,150212.6362
1501,176135.5053
1502,162101.9365
1503,343728.166
1504,225400.0625
1505,222225.0479
1506,190818.3041
1507,229808.5658
1508,199295.1383
1509,171387.5113
1510,150469.5696
1511,152319.65
1512,162889.0099
1513,150798.8514
1514,194441.9453
1515,197044.3039
1516,167562.9207
1517,164522.2529
1518,114075.4348
1519,231396.9431
1520,139259.2448
1521,147067.4126
1522,177676.381
1523,106036.8073
1524,126147.8876
1525,132018.7599
1526,132442.6445
1527,106617.5318
1528,127744.557
1529,133880.0203
1530,167257.816
1531,95134.18869
1532,88101.1676
1533,123772.3934
1534,124906.1022
1535,157729.6842
1536,106307.3382
1537,88058.42503
1538,188503.5114
1539,225886.175
1540,110963.9112
1541,162904.972
1542,161335.6559
1543,219423.8185
1544,69017.81491
1545,104320.4687
1546,128986.3047
1547,144248.7831
1548,152310.1299
1549,120627.5733
1550,146486.9766
1551,110474.9825
1552,125888.1696
1553,152402.7995
1554,119176.555
1555,191757.2171
1556,120357.7973
1557,107289.6512
1558,99580.70801
1559,103808.338
1560,130542.0099
1561,150875.3558
1562,132155.3393
1563,126438.6027
1564,150002.1627
1565,148879.874
1566,217120.3536
1567,71788.74074
1568,228545.2707
1569,148073.4707
1570,128827.8454
1571,118868.3527
1572,141465.9441
1573,264257.207
1574,121558.454
1575,189279.8701
1576,209241.4058
1577,205377.1692
1578,150055.577
1579,150113.4206
1580,198409.3355
1581,137869.8488
1582,124816.1428
1583,318618.4609
